,Ocean DIC [1 mol],Ocean DIC [1.0 mol/l],Ocean C^{12$S,Ocean C^{13}$S ,Ocean $\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean DIC [1.0 mol/a],Fossil_Fuel_Burning_to_Ocean DIC [C^{12$S],Fossil_Fuel_Burning_to_Ocean DIC [C^{13}$S],Fossil_Fuel_Burning_to_Ocean DIC $\delta^{13}$C [VPDB],Carbonate_Weathering_to_Ocean DIC [1.0 mol/a],Carbonate_Weathering_to_Ocean DIC [C^{12$S],Carbonate_Weathering_to_Ocean DIC [C^{13}$S],Carbonate_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Organic_Weathering_to_Ocean DIC [1.0 mol/a],Organic_Weathering_to_Ocean DIC [C^{12$S],Organic_Weathering_to_Ocean DIC [C^{13}$S],Organic_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Volcanic_to_Ocean DIC [1.0 mol/a],Volcanic_to_Ocean DIC [C^{12$S],Volcanic_to_Ocean DIC [C^{13}$S],Volcanic_to_Ocean DIC $\delta^{13}$C [VPDB],Ocean_to_OM_burial DIC [1.0 mol/a],Ocean_to_OM_burial DIC [C^{12$S],Ocean_to_OM_burial DIC [C^{13}$S],Ocean_to_OM_burial DIC $\delta^{13}$C [VPDB],Ocean_to_Carbonate_burial DIC [1.0 mol/a],Ocean_to_Carbonate_burial DIC [C^{12$S],Ocean_to_Carbonate_burial DIC [C^{13}$S],Ocean_to_Carbonate_burial DIC $\delta^{13}$C [VPDB]
0,3.48984e+18,0.0026200000000000004,3.4509830544470093e+18,3.885694555299079e+16,2.0,0.0,0.0,0.0,0.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4153328220124.8135,46671779875.186554,0.0,18100000000000.0,17898866853395.027,201133146604.9706,0.0
1,3.490437e+18,0.002620448198198199,3.451573598053244e+18,3.886340194675599e+16,1.995025657546,597000000000000.0,590543122208783.2,6456877791216.657,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154450968102.147,45549031897.853264,-24.32,18100000000000.0,17898469066057.72,201530933942.28198,2.0
2,3.491041e+18,0.002620901651651652,3.452171065949475e+18,3.8869934050525064e+16,1.989994901109,604000000000000.0,597467413423961.6,6532586576038.293,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154451197807.8613,45548802192.13846,-24.324974342454,18100000000000.0,17898470055401.004,201529944598.9953,1.995025657546
3,3.491652e+18,0.002621360360360361,3.452775458135688e+18,3.887654186431183e+16,1.984907790601,611000000000000.0,604391704639140.0,6608295360859.929,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154451430118.693,45548569881.306915,-24.330005098891,18100000000000.0,17898471055964.54,201528944035.46204,1.989994901109
4,3.49227e+18,0.002621824324324325,3.4533867746118697e+18,3.8883225388130104e+16,1.979764386571,618000000000000.0,611315995854318.4,6684004145681.564,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154451665031.8755,45548334968.124374,-24.335092209399,18100000000000.0,17898472067736.406,201527932263.5944,1.984907790601
5,3.492895e+18,0.002622293543543544,3.454005015378006e+18,3.888998462199368e+16,1.974564750201,625000000000000.0,618240287069496.8,6759712930503.2,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154451902544.6143,45548097455.386,-24.340235613429,18100000000000.0,17898473090704.57,201526909295.431,1.979764386571
6,3.493527e+18,0.0026227680180180186,3.4546301804340833e+18,3.889681956591634e+16,1.969308943305,632000000000000.0,625164578284675.1,6835421715324.837,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154452142654.0835,45547857345.91617,-24.345435249799,18100000000000.0,17898474124856.863,201525875143.13654,1.974564750201
7,3.494166e+18,0.0026232477477477483,3.455262269780088e+18,3.890373021991185e+16,1.963997028329,639000000000000.0,632088869499853.5,6911130500146.473,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154452385357.4316,45547614642.56844,-24.350691056695002,18100000000000.0,17898475170181.0,201524829819.00122,1.969308943305
8,3.494812e+18,0.002623732732732733,3.4559012834160056e+18,3.891071658399396e+16,1.958629068346,646000000000000.0,639013160715031.9,6986839284968.108,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154452630651.775,45547369348.22555,-24.356002971671,18100000000000.0,17898476226664.56,201523773335.4411,1.963997028329
9,3.495465e+18,0.0026242229729729733,3.456547221341823e+18,3.89177786581764e+16,1.953205127058,653000000000000.0,645937451930210.2,7062548069789.744,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154452878534.201,45547121465.79915,-24.361370931654,18100000000000.0,17898477294295.004,201522705704.99664,1.958629068346
