M.S_b.PO4 Time [a],M.S_b.PO4 PO4 [mol/l]
0.0,0.0
90000.0,2.5010326675186987e-06
180000.0,4.552726646637742e-06
270000.0,6.267638812673163e-06
360000.0,7.70105484714163e-06
450000.0,8.899175215990328e-06
540000.0,9.900621181835999e-06
630000.0,1.0737680564175005e-05
720000.0,1.1437336375006556e-05
810000.0,1.2022146448303065e-05
900000.0,1.2510959553263085e-05
990000.0,1.291953524204349e-05
1080000.0,1.3261043110780305e-05
1170000.0,1.3546491623586808e-05
1260000.0,1.378508398300345e-05
1350000.0,1.3984511328551381e-05
1440000.0,1.415119735301208e-05
1530000.0,1.4290521106499745e-05
1620000.0,1.4406976047837992e-05
1710000.0,1.450431589852825e-05
1800000.0,1.4585678238533045e-05
1890000.0,1.4653685640682466e-05
1980000.0,1.4710530204725727e-05
2070000.0,1.4758044215835407e-05
2160000.0,1.4797759205117651e-05
2250000.0,1.4830955315840588e-05
2340000.0,1.4858702566615315e-05
2430000.0,1.4881895341575652e-05
2520000.0,1.4901281219287566e-05
2610000.0,1.4917485069637694e-05
2700000.0,1.4931028505201625e-05
2790000.0,1.4942347663663532e-05
2880000.0,1.4951809194584377e-05
2970000.0,1.495971795985764e-05
