Elevation [yr],CumSum [dimensionless],CumSum [dimensionless]
-9000,1.59E-06,1.59E-06
-8990,2.99E-06,2.99E-06
-8980,3.90E-06,3.90E-06
-8970,5.88E-06,5.88E-06
-8960,7.98E-06,7.98E-06
-8950,9.26E-06,9.26E-06
-8940,1.04E-05,1.04E-05
-8930,1.18E-05,1.18E-05
-8920,1.38E-05,1.38E-05
-8910,1.54E-05,1.54E-05
-8900,1.65E-05,1.65E-05
-8890,1.75E-05,1.75E-05
-8880,1.92E-05,1.92E-05
-8870,1.99E-05,1.99E-05
-8860,2.12E-05,2.12E-05
-8850,2.28E-05,2.28E-05
-8840,2.41E-05,2.41E-05
-8830,2.54E-05,2.54E-05
-8820,2.66E-05,2.66E-05
-8810,2.89E-05,2.89E-05
-8800,3.02E-05,3.02E-05
-8790,3.15E-05,3.15E-05
-8780,3.41E-05,3.41E-05
-8770,3.63E-05,3.63E-05
-8760,3.71E-05,3.71E-05
-8750,3.75E-05,3.75E-05
-8740,3.88E-05,3.88E-05
-8730,4.03E-05,4.03E-05
-8720,4.18E-05,4.18E-05
-8710,4.33E-05,4.33E-05
-8700,4.52E-05,4.52E-05
-8690,4.64E-05,4.64E-05
-8680,4.84E-05,4.84E-05
-8670,5.03E-05,5.03E-05
-8660,5.14E-05,5.14E-05
-8650,5.30E-05,5.30E-05
-8640,5.48E-05,5.48E-05
-8630,5.65E-05,5.65E-05
-8620,5.80E-05,5.80E-05
-8610,6.00E-05,6.00E-05
-8600,6.19E-05,6.19E-05
-8590,6.32E-05,6.32E-05
-8580,6.49E-05,6.49E-05
-8570,6.77E-05,6.77E-05
-8560,6.94E-05,6.94E-05
-8550,7.17E-05,7.17E-05
-8540,7.42E-05,7.42E-05
-8530,7.57E-05,7.57E-05
-8520,7.75E-05,7.75E-05
-8510,8.04E-05,8.04E-05
-8500,8.29E-05,8.29E-05
-8490,8.55E-05,8.55E-05
-8480,8.82E-05,8.82E-05
-8470,9.08E-05,9.08E-05
-8460,9.18E-05,9.18E-05
-8450,9.49E-05,9.49E-05
-8440,9.72E-05,9.72E-05
-8430,9.94E-05,9.94E-05
-8420,0.000101997499821078,0.000101997499821078
-8410,0.000105260564069174,0.000105260564069174
-8400,0.000108226885442985,0.000108226885442985
-8390,0.000111482648447995,0.000111482648447995
-8380,0.000113500830538142,0.000113500830538142
-8370,0.000115548867465486,0.000115548867465486
-8360,0.000118735462463667,0.000118735462463667
-8350,0.000122042552628249,0.000122042552628249
-8340,0.000124845573882426,0.000124845573882426
-8330,0.000128211692252793,0.000128211692252793
-8320,0.000130233309686904,0.000130233309686904
-8310,0.000132288971105043,0.000132288971105043
-8300,0.000134392952394122,0.000134392952394122
-8290,0.00013713148474658,0.00013713148474658
-8280,0.000139565999607782,0.000139565999607782
-8270,0.000143391880943674,0.000143391880943674
-8260,0.000146091600588806,0.000146091600588806
-8250,0.000148249683378255,0.000148249683378255
-8240,0.000151939580184456,0.000151939580184456
-8230,0.000154643460627287,0.000154643460627287
-8220,0.000156943989681357,0.000156943989681357
-8210,0.000159319253644389,0.000159319253644389
-8200,0.000161577330140514,0.000161577330140514
