Ocean Time [a],Ocean DIC [mol],Ocean C^{12}$S [mol],Ocean C^{13}$S [mol],Ocean $\delta^{13}$C [[DIC]],Ocean DIC [mol/l],Fossil_Fuel_Burning_2_Ocean_Flux DIC [mol/a],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{12}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{13}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Carbonate_Weathering_2_Ocean_Flux DIC [mol/a],Carbonate_Weathering_2_Ocean_Flux DIC [C^{12}$S],Carbonate_Weathering_2_Ocean_Flux DIC [C^{13}$S],Carbonate_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Organic_Weathering_2_Ocean_Flux DIC [mol/a],Organic_Weathering_2_Ocean_Flux DIC [C^{12}$S],Organic_Weathering_2_Ocean_Flux DIC [C^{13}$S],Organic_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Volcanic_2_Ocean_Flux DIC [mol/a],Volcanic_2_Ocean_Flux DIC [C^{12}$S],Volcanic_2_Ocean_Flux DIC [C^{13}$S],Volcanic_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_OM_burial_Flux DIC [mol/a],Ocean_2_OM_burial_Flux DIC [C^{12}$S],Ocean_2_OM_burial_Flux DIC [C^{13}$S],Ocean_2_OM_burial_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_Carbonate_burial_Flux DIC [mol/a],Ocean_2_Carbonate_burial_Flux DIC [C^{12}$S],Ocean_2_Carbonate_burial_Flux DIC [C^{13}$S],Ocean_2_Carbonate_burial_Flux DIC $\delta^{13}$C [[DIC]]
0,3.4631999999999995e+18,3.4246396723519933e+18,3.856032764800614e+16,2.000000000000454,0.0026000000000000003,0.0,0.0,0.0,0.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4153328220124.8135,46671779875.18652,0.0,18100000000000.0,17898866853395.027,201133146604.97266,0.0
1,3.4632002499999995e+18,3.4246399201324524e+18,3.8560329867547224e+16,1.9999851783695972,0.0026000001876876878,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453398918.952,45546601081.04785,-24.372639999997148,18100000000000.0,17898469066057.72,201530933942.28125,1.9999999999962859
2,3.4632004999999995e+18,3.424640167912908e+18,3.856033208709192e+16,1.9999703568359957,0.0026000003753753756,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453399585.3735,45546600414.626465,-24.372654431525326,18100000000000.0,17898469069005.582,201530930994.41797,1.9999851783641942
3,3.4632007499999995e+18,3.4246404156933596e+18,3.856033430664023e+16,1.9999555353993406,0.002600000563063063,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453400251.7905,45546599748.20947,-24.372668862958253,18100000000000.0,17898469071953.426,201530928046.57422,1.9999703568301295
4,3.4632009999999995e+18,3.424640663473808e+18,3.856033652619216e+16,1.9999407140599408,0.002600000750750751,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453400918.203,45546599081.796875,-24.372683294296085,18100000000000.0,17898469074901.25,201530925098.75,1.9999555353944007
5,3.4632012499999995e+18,3.4246409112542525e+18,3.85603387457477e+16,1.9999258928174872,0.0026000009384384384,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453401584.612,45546598415.38818,-24.372697725549475,18100000000000.0,17898469077849.055,201530922150.9453,1.9999407140568533
6,3.4632014999999995e+18,3.4246411590346936e+18,3.856034096530685e+16,1.999911071672289,0.0026000011261261263,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453402251.015,45546597748.98486,-24.37271215668632,18100000000000.0,17898469080796.844,201530919203.15625,1.9999258927978818
7,3.4632017499999995e+18,3.4246414068151306e+18,3.856034318486962e+16,1.9998962506243458,0.002600001313813814,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453402917.416,45546597082.583984,-24.372726587770362,18100000000000.0,17898469083744.613,201530916255.38672,1.9999110716370918
8,3.4632019999999995e+18,3.424641654595564e+18,3.8560345404436e+16,1.9998814296735035,0.0026000015015015016,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453403583.81,45546596416.18994,-24.372741018706517,18100000000000.0,17898469086692.355,201530913307.64453,1.9998962506138485
9,3.4632022499999995e+18,3.424641902375994e+18,3.856034762400599e+16,1.9998666088196075,0.0026000016891891894,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453404250.2007,45546595749.79932,-24.37275544956842,18100000000000.0,17898469089640.082,201530910359.91797,1.999881429669181
10,3.4632024999999995e+18,3.42464215015642e+18,3.85603498435796e+16,1.9998517880628124,0.002600001876876877,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453404916.586,45546595083.41406,-24.37276988031423,18100000000000.0,17898469092587.79,201530907412.21094,1.999866608822695
11,3.4632027499999995e+18,3.424642397936843e+18,3.8560352063156824e+16,1.9998369674032723,0.0026000020645645648,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453405582.9688,45546594417.03125,-24.372784311006942,18100000000000.0,17898469095535.48,201530904464.51953,1.999851788054785
12,3.4632029999999995e+18,3.424642645717262e+18,3.856035428273766e+16,1.9998221468408333,0.002600002252252252,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453406249.346,45546593750.65381,-24.37279874158356,18100000000000.0,17898469098483.15,201530901516.85156,1.9998369674046619
13,3.4632032499999995e+18,3.4246428934976773e+18,3.856035650232211e+16,1.999807326375495,0.00260000243993994,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453406915.7188,45546593084.28125,-24.37281317205428,18100000000000.0,17898469101430.797,201530898569.20312,1.99982214685272
14,3.4632034999999995e+18,3.424643141278089e+18,3.856035872191018e+16,1.999792506007103,0.002600002627627628,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453407582.0884,45546592417.91162,-24.372827602461552,18100000000000.0,17898469104378.43,201530895621.5703,1.9998073263793543
15,3.4632037499999995e+18,3.4246433890584975e+18,3.856036094150186e+16,1.9997776857359661,0.0026000028153153154,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453408248.4526,45546591751.54736,-24.37284203275258,18100000000000.0,17898469107326.043,201530892673.95703,1.9997925060043242
16,3.4632039999999995e+18,3.4246436368389023e+18,3.856036316109715e+16,1.9997628655619302,0.0026000030030030033,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453408914.8125,45546591085.1875,-24.372856462948363,18100000000000.0,17898469110273.633,201530889726.3672,1.999777685747081
