Year [yrs],C [mol/yr],d13C [permil]
1751,250000000000,-28
1752,250000000000,-28
1753,250000000000,-28
1754,250000000000,-28
1755,250000000000,-28
1756,250000000000,-28
1757,250000000000,-28
1758,250000000000,-28
1759,250000000000,-28
1760,250000000000,-28
1761,250000000000,-28
1762,250000000000,-28
1763,250000000000,-28
1764,250000000000,-28
1765,250000000000,-28
1766,250000000000,-28
1767,250000000000,-28
1768,250000000000,-28
1769,250000000000,-28
1770,250000000000,-28
1771,333333333333.333,-28
1772,333333333333.333,-28
1773,333333333333.333,-28
1774,333333333333.333,-28
1775,333333333333.333,-28
1776,333333333333.333,-28
1777,333333333333.333,-28
1778,333333333333.333,-28
1779,333333333333.333,-28
1780,333333333333.333,-28
1781,416666666666.667,-28
1782,416666666666.667,-28
1783,416666666666.667,-28
1784,416666666666.667,-28
1785,416666666666.667,-28
1786,416666666666.667,-28
1787,416666666666.667,-28
1788,416666666666.667,-28
1789,416666666666.667,-28
1790,416666666666.667,-28
1791,500000000000,-28
1792,500000000000,-28
1793,500000000000,-28
1794,500000000000,-28
1795,500000000000,-28
1796,500000000000,-28
1797,583333333333.333,-28
1798,583333333333.333,-28
1799,583333333333.333,-28
1800,666666666666.667,-28
1801,666666666666.667,-28
1802,833333333333.333,-28
1803,750000000000,-28
1804,750000000000,-28
1805,750000000000,-28
1806,833333333333.333,-28
1807,833333333333.333,-28
1808,833333333333.333,-28
1809,833333333333.333,-28
1810,833333333333.333,-28
1811,916666666666.667,-28
1812,916666666666.667,-28
1813,916666666666.667,-28
1814,916666666666.667,-28
1815,1000000000000,-28
1816,1083333333333.33,-28
1817,1166666666666.67,-28
1818,1166666666666.67,-28
1819,1166666666666.67,-28
1820,1166666666666.67,-28
1821,1166666666666.67,-28
1822,1250000000000,-28
1823,1333333333333.33,-28
1824,1333333333333.33,-28
1825,1416666666666.67,-28
1826,1416666666666.67,-28
1827,1500000000000,-28
1828,1500000000000,-28
1829,1500000000000,-28
1830,2000000000000,-28
1831,1916666666666.67,-28
1832,1916666666666.67,-28
1833,2000000000000,-28
1834,2000000000000,-28
1835,2083333333333.33,-28
1836,2416666666666.67,-28
1837,2416666666666.67,-28
1838,2500000000000,-28
1839,2583333333333.33,-28
1840,2750000000000,-28
1841,2833333333333.33,-28
1842,3000000000000,-28
1843,3083333333333.33,-28
1844,3250000000000,-28
1845,3583333333333.33,-28
1846,3583333333333.33,-28
1847,3833333333333.33,-28
1848,3916666666666.67,-28
1849,4166666666666.67,-28
1850,4500000000000,-28
1851,4500000000000,-28
1852,4750000000000,-28
1853,4916666666666.67,-28
1854,5750000000000,-28
1855,5916666666666.67,-28
1856,6333333333333.33,-28
1857,6416666666666.67,-28
1858,6500000000000,-28
1859,6916666666666.67,-28
1860,7583333333333.33,-28
1861,7916666666666.67,-28
1862,8083333333333.33,-28
1863,8666666666666.67,-28
1864,9333333333333.33,-28
1865,9916666666666.67,-28
1866,10166666666666.7,-28
1867,10833333333333.3,-28
1868,11250000000000,-28
1869,11833333333333.3,-28
1870,12250000000000,-28
1871,13000000000000,-28
1872,14416666666666.7,-28
1873,15333333333333.3,-28
1874,14500000000000,-28
1875,15666666666666.7,-28
1876,15916666666666.7,-28
1877,16166666666666.7,-28
1878,16333333333333.3,-28
1879,17500000000000,-28
1880,19666666666666.7,-28
1881,20250000000000,-28
1882,21333333333333.3,-28
1883,22666666666666.7,-28
1884,22916666666666.7,-28
1885,23083333333333.3,-28
1886,23416666666666.7,-28
1887,24583333333333.3,-28
1888,27250000000000,-28
1889,27250000000000,-28
1890,29666666666666.7,-28
1891,31000000000000,-28
1892,31166666666666.7,-28
1893,30833333333333.3,-28
1894,31916666666666.7,-28
1895,33833333333333.3,-28
1896,34916666666666.7,-28
1897,36666666666666.7,-28
1898,38750000000000,-28
1899,42250000000000,-28
1900,44500000000000,-28
1901,46000000000000,-28
1902,47166666666666.7,-28
1903,51416666666666.7,-28
1904,52000000000000,-28
1905,55250000000000,-28
1906,58916666666666.7,-28
1907,65333333333333.3,-28
1908,62500000000000,-28
1909,65416666666666.7,-28
1910,68250000000000,-28
1911,69666666666666.7,-28
1912,73250000000000,-28
1913,78583333333333.3,-28
1914,70833333333333.3,-28
1915,69833333333333.3,-28
1916,75083333333333.3,-28
1917,79583333333333.3,-28
1918,78000000000000,-28
1919,67166666666666.7,-28
1920,77666666666666.7,-28
1921,66916666666666.7,-28
1922,70416666666666.7,-28
1923,80833333333333.3,-28
1924,80250000000000,-28
1925,81250000000000,-28
1926,81916666666666.7,-28
1927,88500000000000,-28
1928,88750000000000,-28
1929,95416666666666.7,-28
1930,87750000000000,-28
1931,78333333333333.3,-28
1932,70583333333333.3,-28
1933,74416666666666.7,-28
1934,81083333333333.3,-28
1935,85583333333333.3,-28
1936,94166666666666.7,-28
1937,100750000000000,-28
1938,95166666666666.7,-28
1939,99333333333333.3,-28
1940,108250000000000,-28
1941,111166666666667,-28
1942,111833333333333,-28
1943,115916666666667,-28
1944,115250000000000,-28
1945,96666666666666.7,-28
1946,103166666666667,-28
1947,116000000000000,-28
1948,122416666666667,-28
1949,118250000000000,-28
1950,135833333333333,-28
1951,147250000000000,-28
1952,149583333333333,-28
1953,153416666666667,-28
1954,155416666666667,-28
1955,170166666666667,-28
1956,181416666666667,-28
1957,189166666666667,-28
1958,194166666666667,-28
1959,204500000000000,-28
1960,214083333333333,-28
1961,215000000000000,-28
1962,223833333333333,-28
1963,236083333333333,-28
1964,249583333333333,-28
1965,260833333333333,-28
1966,274000000000000,-28
1967,282750000000000,-28
1968,297166666666667,-28
1969,315000000000000,-28
1970,337750000000000,-28
1971,350666666666667,-28
1972,364666666666667,-28
1973,384500000000000,-28
1974,385250000000000,-28
1975,383000000000000,-28
1976,405333333333333,-28
1977,418000000000000,-28
1978,422833333333333,-28
1979,446416666666667,-28
1980,441750000000000,-28
1981,428166666666667,-28
1982,424500000000000,-28
1983,422916666666667,-28
1984,438166666666667,-28
1985,451416666666667,-28
1986,465250000000000,-28
1987,477083333333333,-28
1988,494666666666667,-28
1989,505500000000000,-28
1990,636000000000000,-28
1995,655000000000000,-28
2000,674000000000000,-28
2005,759000000000000,-28
2010,821000000000000,-28
2012,863000000000000,-28
2014,901000000000000,-28
2015,890000000000000,-28
2020,993000000000000,-28
2030,1260000000000000,-28
2040,1560000000000000,-28
2050,1890000000000000,-28
2060,2280000000000000,-28
2070,2650000000000000,-28
2080,2950000000000000,-28
2090,2970000000000000,-28
2100,2870000000000000,-28
