experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,0.0,279.9985851597,4677,3477,2940,4915,3760,3448,105.68488965161832,83.44489537798542,75.07029919044744,2208.6977409309,2287.9754129492,2343.0306361904,2343.9936939121,2380.0582262213,2416.3287386081,2141.1448491017004,2323.9071970826,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,100.0,279.99946551698923,4676,3476,2939,4915,3759,3448,105.66915139500122,83.43485810225249,75.06704731990371,2208.670825731237,2287.956901207081,2343.024121952452,2343.9409521989755,2380.021580152701,2416.316013341101,2141.1365091825774,2323.8963926041924,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,200.0,280.00196401750685,4675,3476,2939,4914,3758,3448,105.65724129903302,83.4252109288689,75.06283785425391,2208.649115207907,2287.9385874053464,2343.01539693921,2343.8999329230164,2379.9860083793224,2416.2993108317405,2141.126119154781,2323.8821565776934,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,300.0,280.0054961707251,4675,3475,2939,4914,3758,3447,105.64686407329492,83.41610577310246,75.05859981693385,2208.629236292876,2287.920806119605,2343.0063897302043,2343.863245842363,2379.95196294161,2416.282318291483,2141.115388909057,2323.866898225488,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,400.0,280.0099743097861,4674,3475,2939,4913,3758,3447,105.63896604682913,83.41184031497835,75.05514982219631,2208.6130320285674,2287.911221183585,2342.998571743265,2343.8343392416523,2379.9348804458323,2416.268012887526,2141.106205941593,2323.8529862336964,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,500.0,280.01513308652824,4674,3474,2938,4913,3757,3447,105.63336421313213,83.40686485682079,75.05101186402626,2208.600416714127,2287.899836551277,2342.989148780242,2343.8127454569267,2379.9146573190424,2416.250771470447,2141.0970033956464,2323.83862316325,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,600.0,280.0210010437782,4674,3474,2938,4913,3757,3447,105.62882386965931,83.39887932149763,75.04678748619811,2208.589380982381,2287.882729946598,2342.979340043511,2343.7944637755804,2379.88333747676,2416.233019489832,2141.087015081079,2323.8228754967527,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,700.0,280.02703324338546,4674,3474,2938,4913,3757,3446,105.6245912956638,83.39594746789074,75.04373214794697,2208.579034496845,2287.8746177005487,2342.9716375649955,2343.777363123949,2379.870158787848,2416.2196229022447,2141.078915518155,2323.809355701674,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,800.0,280.03271324769486,4674,3474,2938,4912,3757,3446,105.62191314052224,83.39357593287902,75.04225759718636,2208.5717432827223,2287.8674851064006,2342.9669139398666,2343.7658491851025,2379.8588783302885,2416.212207734728,2141.0728876810103,2323.798579596653,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,900.0,280.0378943027177,4673,3474,2938,4912,3757,3446,105.61998146178084,83.3920569594048,75.04123944453359,2208.566174685048,2287.862128277014,2342.963073997987,2343.757234496293,2379.850957970454,2416.2065287446203,2141.067953162602,2323.789439404418,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1000.0,280.0426144482592,4673,3473,2938,4912,3757,3446,105.61795700369036,83.39152332287303,75.0402158803524,2208.560869597796,2287.858718697098,2342.959266311887,2343.748714514433,2379.8466957057176,2416.2008676863265,2141.0635388551746,2323.7812080256813,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1100.0,280.0469603736205,4673,3473,2938,4912,3756,3446,105.61593727590736,83.39062136875725,75.03920264146791,2208.555867786798,2287.8548889586723,2342.9555246938357,2343.740488841177,2379.84135658399,2416.1952881938096,2141.0593110882373,2323.7734272450534,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1200.0,280.0509710232032,4673,3473,2938,4912,3756,3446,105.61458463135864,83.38965071763417,75.0381802129521,2208.552211186589,2287.851143460738,2342.951825336583,2343.734698141238,2379.8359558010766,2416.1897306346987,2141.0554909892103,2323.766345894283,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
